LOG_CLint_HLM,LOG_CLint_RLM,LOG_CLint_MLM
1.624488362513449,,
0.1854571574019259,,0.9044856274497164
1.2787536009528289,1.6434526764861874,
1.2405492482825995,,2.9361114316748544
2.0791812460476247,2.9020028913507296,
1.5996647787884168,,
0.505149978319906,,2.3634239329171765
-0.5228787452803376,,0.146128035678238
,,2.792391689498254
0.1473671077937864,1.48572142648158,
1.390935107103379,,2.2137832993353044
1.0791812460476249,,
,,2.071882007306125
0.6532125137753437,,1.8762178405916423
1.9507103997010424,2.1473671077937864,
1.1985196302411678,1.6532125137753435,
,,2.385123455892216
,1.08278537031645,
-0.9706162223147904,,-0.0915149811213502
1.7402837196818792,2.0681858617461617,
1.0086001717619175,,2.64365003821733
0.9306943876645352,1.5932860670204574,2.180412632838324
1.711807229041191,,2.0354297381845483
1.0791812460476249,,
1.7041505168397992,,2.816373888752362
,,1.4471580313422192
1.829361674901893,,
1.3483048630481609,,3.0258381642297003
4.612253906096437,,4.823180687772236
,1.8680563618230417,
0.5185139398778874,,0.3617278360175928
1.6809697184658972,,
0.7160033436347992,,2.6423655808449733
1.0681858617461617,,2.626155521880912
2.584331224367531,3.27415784926368,
1.350354640050803,,
0.7781512503836436,,1.848804701051804
1.8535156967569288,,
1.3480808417577996,,
,1.9731278535996983,
1.0224283711854865,,2.946840205541363
,1.130333768495006,
-0.1536628878701947,0.1003705451175628,
0.9397587972920404,,0.5970531401766048
2.128883702099773,3.029789470831856,
,2.1690863574870227,
0.404645595594691,,2.0784531928755423
1.0086001717619175,,2.454234895748266
1.380211241711606,,
0.6989700043360189,,1.3979400086720375
,1.4313637641589874,1.8864907251724816
,,2.4252406791001984
4.109578546904387,,
,,2.370883016777606
0.8388490907372553,,2.0453229787866576
2.161607546908397,,
1.846337112129805,,
1.0,,
0.5733358400660676,,1.579503500660207
2.2610248339923973,,2.5379449592914867
1.2988530764097066,1.513217600067939,
2.889699390150935,,
1.306231964874957,,
0.7583819417746753,,
2.285669805960068,,
1.775756037844098,,
1.1821292140529984,,
0.5453071164658241,0.255272505103306,
1.1473671077937864,,
,,2.6827495978606493
0.7671558660821804,1.8987251815894937,
1.7558748556724917,,2.5758803156806462
2.0224283711854865,2.3344537511509307,
1.8877297972880305,,
1.4661258704181992,,
4.410608542568368,,
1.0606978403536116,,2.300812794118117
,,2.155024630850437
,1.717670503002262,
2.852803154379037,,
0.0504570947857299,0.48572142648158,
,0.5105450102066121,
1.545307116465824,,
1.3692158574101427,,2.278982116865443
,0.8115750058705934,
0.7671558660821804,,
1.7678976160180906,,3.227398169873655
1.3582204731086795,,
,,3.2583127574119155
1.513217600067939,,2.952792443044092
-0.1676380058635076,,
0.9084850188786496,,
1.3469394626989906,,
2.2750117377780112,2.230244499401375,2.6180376316587326
0.7403626894942439,,1.3560258571931227
1.0224283711854865,1.8407332346118068,
1.1389623245895963,,
2.7825156214913944,,3.729452333550369
0.6720978579357175,1.3979400086720375,
0.8692317197309762,,2.4019172505175748
0.6989700043360189,1.57978359661681,
2.551059445354916,,
3.1095785469043866,,
0.9822712330395684,,2.578639209968072
1.944482672150169,,2.5972562829251418
-0.2328441339178195,-0.0457574905606751,
1.3692158574101427,1.6866362692622934,
1.6794278966121188,,3.3738311450738303
,,2.765918034806236
0.7671558660821804,,
,,2.2055156231136976
1.3469394626989906,1.7993405494535817,
2.721398375521505,,
1.0492180226701815,,2.6697816152085365
1.7494270991217489,1.8785217955012063,2.2554895980755365
0.0791812460476248,,2.4523998459114416
0.0,,1.847572659142112
2.860397905127313,,3.447483630119362
1.4716495630914792,,1.9149510611278813
1.0969100130080565,,
,2.1009905230699646,
1.7075701760979365,,
1.0293837776852095,,2.392169149489736
1.2608926683590205,,
0.8388490907372553,,2.9824973691977124
1.5224442335063195,,2.0170333392987803
1.250029449690934,2.1539976866927995,
,,1.658964842664435
1.1473671077937864,,2.317007635994752
1.7474118078864234,,3.1598077329694307
1.2174839442139065,,2.006466042249232
0.8450980400142568,,1.7634279935629371
0.5595475555804343,,
,,0.9149510611278816
1.1473671077937864,,2.1112457062718497
1.4913616938342726,1.7481880270062005,
2.5756496147552195,,3.344981413927258
1.7664128471123994,,3.1492499125902818
-0.3979400086720376,,2.57611089412084
0.5185139398778874,,1.7589118923979734
2.673297439759636,,3.3664229572259727
,,2.4727564493172123
1.410608542568368,,2.136799810744238
,0.8016094880273188,
1.900694774452398,,
1.3747483460101038,,2.3494717992143856
2.0580462303952816,,3.3790697197927466
1.7781512503836436,2.296665190261531,
1.8512583487190752,,2.100370545117563
0.9848197448294612,1.7131544018372984,
1.403120521175818,,3.208521972931434
1.1821292140529984,0.255272505103306,
1.4831592097169797,,2.149034267161249
1.0459094670350093,,
1.1095785469043866,,
0.6334684555795865,,2.11293997608408
1.1205739312058498,,1.6998377258672457
1.667452952889954,,3.556796832486183
,,
0.9542425094393248,,2.4075608494863627
1.0681858617461617,0.534026106056135,
1.1473671077937864,,
1.6809697184658972,,
1.13264385097308,2.093239523471961,2.05362960915051
0.9595183769729982,,1.582971929104806
1.410608542568368,,
1.724275869600789,,2.760648619581356
0.2143138974243995,,1.57045537168281
1.802773725291976,,3.0048800072406343
2.19534605834842,,3.1752798184423843
1.701654317325748,,
1.2640855141553953,,1.8128398544340176
1.1473671077937864,,
1.173186268412274,,2.2915908256580013
1.4661258704181992,,
,1.676876431973137,2.8577855548979767
1.6551240221447356,,2.615508171528163
2.0791812460476247,2.230448921378274,
1.775756037844098,2.8691143269793757,
1.7213983755215052,,
1.670245853074124,,
0.8584710257794033,,
1.255995726722402,,
1.839037873388306,1.91803033678488,
,0.6989700043360189,
2.556736578246606,,
1.2723058444020865,,
1.960280464436642,,
,,-1.3767507096020994
2.1095785469043866,1.7737864449811935,
0.9182191194359308,,
,,2.27397300376955
2.6324572921847245,3.315970345456918,
1.860577551244416,1.7737864449811935,
1.960280464436642,,2.6790915970687106
2.3242824552976926,,
-0.1683861446909011,-0.00436480540245,1.0698530211136246
2.0681858617461617,3.170672340315576,
1.2723058444020865,,2.097881744713868
,,2.6982419511639364
1.2986347831244356,,
1.5595475555804343,,
2.7703069614262605,,
2.470704429722788,,3.057856208741888
1.0969100130080565,,2.269045709657623
-0.1549019599857432,,2.2174839442139063
1.545307116465824,,
,,1.0240955305529496
1.0224283711854865,,
1.4265112613645752,,3.519486722064457
0.8682152209902959,,
1.6127838567197357,,
-0.0457574905606751,,1.5352941200427703
-0.3372421683184259,,
0.9395192526186184,,2.6020599913279625
1.9249147521290444,,2.822157614314657
1.146128035678238,1.8195439355418688,
0.8388490907372553,,1.954242509439325
,1.4913616938342726,
1.2041199826559248,,
1.0224283711854865,,
2.182129214052998,,3.0240955305529496
1.2986347831244356,,
,,2.770239408588879
0.4623979978989561,,2.238297067875394
0.691435152144062,,1.741950879049342
2.5634810853944106,,2.708420900134713
,0.5105450102066121,
1.06707085604537,,
,,2.660397648368211
1.9095025414054152,,
0.670245853074124,1.8350561017201164,1.7388598020722
,,2.5403294747908736
2.118178718666304,,
,0.7176705030022621,
0.90766390912036,,
2.220474206129218,,
0.9030899869919436,,
,0.7466341989375788,
1.920665855383018,,
1.9809391654174848,,
,1.845098040014257,
,,2.268510108068047
0.9777236052888476,,2.460597188897601
1.5866998016240492,,2.308735110028761
0.8573324964312685,1.7958800173440752,
2.4950223155496696,2.293892667053009,
2.410608542568368,,
1.7558748556724917,,
0.9294189257142929,,
,,3.2875778090787056
1.1072099696478683,,1.8836614351536176
-1.408935392973501,-1.0087739243075051,
0.7781512503836436,0.8450980400142568,1.380211241711606
1.8085485512404056,1.255272505103306,
1.948999454026953,,
1.4299136977637543,2.1528995963937474,
1.784189205380961,,
,2.929214503737394,
1.0413926851582251,1.3424226808222062,
0.1139433523068367,,
2.586699801624049,,
0.8061799739838872,,1.8987251815894937
4.624488362513449,4.99563519459755,
0.1095785469043867,0.5774917998372253,1.522150692108255
0.9294189257142929,,1.846337112129805
1.8959747323590648,,3.21034527775002
2.588013855521881,,
,1.3692158574101427,
2.0051805125037805,,3.334011188761349
,,1.7688230254496435
2.301943224711672,,2.799557642425812
,,1.2262002219735488
1.3306369514765912,,1.8737651336416896
1.8743658357300488,,
1.6294095991027189,,2.87742894078822
1.8656960599160703,,1.863322860120456
,1.6232492903979006,
1.545307116465824,,2.0077051143647804
0.9777236052888476,1.3010299956639813,
1.0975696394313712,2.016448318259038,
0.9242792860618816,,
,2.9339931638312424,
,,1.6334684555795864
,2.470116353151004,
2.2640855141553957,,
1.3424226808222062,1.6127838567197357,
0.8633228601204559,1.2787536009528289,1.5314789170422551
2.581722159949099,,3.321411997974005
,,
4.447158031342219,4.886490725172482,
1.462397997898956,,3.13510083376572
1.100370545117563,,2.6450290647211423
2.198519630241168,,
1.787460474518415,,2.4893959217271293
1.1821292140529984,,
1.1613680022349748,,2.4456042032735974
,,1.9637878273455551
0.9637878273455552,,2.344981413927258
1.545307116465824,,
0.3222192947339193,,
1.0170333392987805,,1.5010592622177514
1.0026843129897294,,
4.665881047671674,,
,1.3434085938038574,1.1947917577219247
1.085219201044942,,2.6896417794020184
3.369215857410143,,
0.9684829485539352,,2.67089495352021
0.8061799739838872,,1.740362689494244
1.113508840532819,,
0.414973347970818,,1.136720567156407
0.3424226808222063,1.6711728427150832,
2.098178037124009,,
2.6072619605389384,,
1.5211380837040362,,2.2229764498933915
1.3234583668494675,,
1.934498451243568,,2.4835872969688944
0.7781512503836436,,
1.6901960800285136,2.2013971243204518,
0.5797835966168101,,1.155336037465062
-1.3098039199714864,,
1.1095785469043866,,
1.429752280002408,,2.739414102698696
1.6374897295125106,,3.040681439373358
0.7403626894942439,,
2.378397900948137,,
1.4199557484897578,,3.0280015793468578
1.5866998016240492,1.670245853074124,
1.878216648152001,,
1.9872639541222352,2.3044905277734875,
1.0681858617461617,,
1.3180633349627615,,1.9095560292411755
1.499549625905149,2.054613054556888,
2.0224283711854865,,
,,3.191522273157078
1.765668554759014,,3.42301637471482
1.3979400086720375,,2.475816413031318
,,0.291701770729981
,,
1.9604707775342989,,1.739572344450092
-0.0287241512618947,1.0034605321095065,
0.7485213751607249,,
